陈,153333
王,149047
张,106052
李,99343
林,61439
杨,57216
刘,53052
徐,50042
黄,46103
周,46077
吴,43858
郑,40522
叶,35564
朱,35146
金,31129
罗,25755
胡,25685
赵,25631
潘,23803
蔡,20805
何,20698
梁,19302
蒋,18490
谢,18469
许,17142
丁,16654
孙,16648
郭,15666
陶,13042
卢,12772
余,12423
应,12212
沈,11965
马,11954
洪,11737
章,11400
钟,11122
阮,11052
方,10908
戴,10746
江,10633
曾,10092
冯,9617
邱,9594
汪,9338
程,9209
高,9143
唐,8657
曹,8655
彭,8445
夏,7672
董,7584
肖,7391
项,7319
袁,7216
任,6818
苏,6724
施,6646
毛,6329
邓,6215
邵,6189
管,6105
韩,5974
范,5959
宋,5853
姚,5850
葛,5801
颜,5676
廖,5565
杜,5501
赖,5186
吕,5127
陆,5106
牟,5018
鲍,4841
俞,4806
柯,4739
严,4440
魏,4418
姜,4364
邹,4265
尹,4173
田,4024
石,3986
包,3961
倪,3949
童,3767
缪,3758
顾,3692
龙,3604
钱,3596
崔,3561
谭,3529
汤,3455
贺,3445
龚,3415
翁,3331
熊,3324
付,3298
梅,3142
雷,2878
孔,2870
盛,2863
侯,2676
秦,2641
尤,2635
庞,2581
泮,2518
向,2481
莫,2438
尚,2329
庄,2274
傅,2270
于,2260
柳,2245
季,2245
温,2140
於,2086
薛,2086
万,2078
詹,1976
池,1975
黎,1972
段,1955
韦,1918
解,1885
贾,1857
舒,1854
虞,1845
伍,1822
孟,1783
郏,1764
齐,1750
符,1746
娄,1744
聂,1672
易,1664
祝,1592
邬,1591
奚,1561
康,1550
滕,1461
凌,1418
史,1412
喻,1394
欧,1389
文,1379
代,1378
白,1366
屈,1338
卓,1336
屠,1323
甘,1276
骆,1245
辛,1243
单,1202
褚,1180
茅,1179
裘,1167
欧阳,1163
闫,1142
兰,1128
常,1093
安,1088
连,1068
成,1065
厉,1042
饶,1038
鲁,1037
邢,1035
蓝,1019
谷,1015
冉,1014
瞿,999
华,996
涂,985
武,941
裴,927
乔,924
翟,911
狄,909
毕,904
樊,885
殷,871
楼,841
游,824
蒲,819
覃,817
申,811
芦,807
左,799
郝,787
麻,733
牛,729
耿,715
乐,710
岳,663
焦,650
戚,623
车,604
柴,589
官,552
占,548
仇,528
祁,527
候,526
艾,518
宁,504
干,499
古,497
阳,471
关,470
晏,442
桂,441
费,432
岑,425
路,417
司,387
郎,386
靳,383
穆,380
纪,376
苗,370
时,362
元,357
巫,340
明,336
郦,335
南,330
蒙,329
敖,323
霍,317
闻,308
冷,305
荣,297
卜,296
吉,293
房,290
茹,287
简,286
燕,286
刁,277
鄢,259
皮,257
闵,256
全,253
阎,252
查,249
米,246
隆,238
柏,238
胥,233
卿,229
卫,227
邝,226
班,223
商,221
匡,217
苟,212
支,211
桑,211
宗,209
粟,208
景,203
年,202
郁,197
诸,193
谈,190
练,184
谌,184
帅,182
凡,175
储,174
席,169
窦,168
冀,166
卞,165
臧,163
尧,162
幸,159
宫,156
姬,154
楚,149
党,147
来,145
阙,143
师,142
仲,141
曲,141
寿,141
边,141
佘,140
封,140
沙,137
母,136
宣,133
揭,133
伊,131
况,130
甄,130
丰,127
花,127
巩,126
贝,119
辜,116
衡,115
竺,115
满,111
漆,111
忻,110
栾,107
危,105
农,105
蔺,105
上官,101
和,101
诸葛,98
綦,97
普,96
惠,94
但,94
佟,94
钮,93
水,92
位,92
平,91
枣,89
寇,88
木,88
羊,87
禹,86
操,85
戈,84
岩,84
扶,84
晋,83
昝,83
阚,82
鹿,82
雍,81
盘,80
戎,79
习,79
豆,79
萧,78
芮,78
计,76
腾,76
栗,74
伏,74
信,72
旷,72
劳,70
丘,70
鞠,69
湛,68
门,66
权,66
尉,66
廉,66
鲜,66
束,65
仝,65
丛,65
邰,65
慕,64
斯,63
嵇,63
励,62
过,62
祖,62
苑,60
濮,60
杭,60
麦,59
亢,58
令狐,57
敬,57
刑,57
强,56
宿,56
印,55
薄,55
荆,55
郜,55
都,55
檀,53
税,53
隋,53
赫,50
勾,49
巨,48
随,48
浦,47
蹇,47
雒,46
先,46
云,45
庹,45
井,45
晁,44
粱,43
宾,42
迟,42
征,41
历,41
谯,40
菅,40
巴,40
侬,39
潭,39
利,39
展,38
皇甫,37
亓,37
索,37
居,37
修,37
别,36
国,36
补,36
留,35
郇,35
沃,34
宛,34
银,34
眭,34
海,33
蒯,33
奉,32
从,32
化,32
原,31
盖,31
王,30
暨,30
禇,30
昌,30
户,30
圣,30
富,29
容,29
经,29
相,29
娜,29
荀,28
琚,28
字,28
刀,28
卯,28
开,28
申屠,27
鄂,27
糜,27
未,27
